Familia actualizada,Género actualizado,Especie actualizada,Taxa infraespecífico,Autor,MEXUw,Colector,Colectores asociados,N° Colecta,Familia anterior,Género anterior,Especie anterior,Estado,País,Fecha,Día,Mes,Año,Institución,Donaciones,Péstamos/ Exhibiciones,Nombre común,Forma de vida,Parte del árbol donde se realizó la colecta,Altura,DAP,Altura de colecta,N° Fam,Nº Género,,,,,,,,,,,,
Cannabaceae,Aphananthe,monoica, ,(Hemsl.) J.-F.Leroy,MEXUw-0001,"Calzada, Juan Ismael",,NA,Ulmaceae,Mirandaceltis,,Veracruz,México, 29/09/1971,29,9,1971,"Instituto de Biología, UNAM",,,Cuero,Árbol,,,,,63,1998B,,,,,,,,,,,,
Simaroubaceae,Simarouba,glauca, ,DC.,MEXUw-0002,"Hernández Magaña, Rafael","Trigos, R.C.",1246,,,,Campeche,México,23/9/1971,23,9,1971,"Instituto de Biología, UNAM",,,Pasa'ak,Árbol,,,,,138,4111,,,,,,,,,,,,
Malvaceae,Bernoullia,flammea, ,Oliv.,MEXUw-0003,"Calzada, Juan Ismael",,NA,Bombacaceae,,,Veracruz,México,9/10/1971,9,10,1971,"Instituto de Biología, UNAM",,,Palo de tortilla,Árbol,,,,,177,5035,,,,,,,,,,,,
Lamiaceae,Vitex,mollis, ,Kunth,MEXUw-0004,"Pérez Jiménez, Luis Alfredo",,754,Verbenaceae,,,Jalisco,México,9/9/1972,9,9,1972,"Instituto de Biología, UNAM",,,Uvalán,Árbol,,,,,253,7186,,,,,,,,,,,,
Araliaceae,Dendropanax,arboreus, ,(L.) Decne. & Planch.,MEXUw-0005,"Cedillo Trigos, Refugio",,308,,,,Veracruz,México,17/7/1973,17,7,1973,"Instituto de Biología, UNAM",,,"Olivo, palo de agua",Árbol,,,,,227,5854C,,,,,,,,,,,,
Sapindaceae,Allophylus,camptostachys, ,Radlk.,MEXUw-0006,"Cedillo Trigos, Refugio",,310,,,,Veracruz,México,17/8/1973,17,8,1973,"Instituto de Biología, UNAM",,,Palo de ratón,Árbol,,,,,165,4734,,,,,,,,,,,,
Lauraceae,Nectandra,globosa, ,(Aubl.) Mez,MEXUw-0007,"Cedillo Trigos, Refugio",,311,,,,Veracruz,México,18/8/1973,18,8,1973,"Instituto de Biología, UNAM",,,"Laurel, laurel aguacatillo",Árbol,,,,,102,2790,,,,,,,,,,,,
Moraceae,Trophis,racemosa, ,(L.) Urb.,MEXUw-0008,"Cedillo Trigos, Refugio",,306,,,,Veracruz,México,17/8/1973,17,8,1973,"Instituto de Biología, UNAM",,,Cheschillo,Árbol,,,,,64,1917,,,,,,,,,,,,
Araliaceae,Aralia,excelsa, ,(Griseb.) J.Wen,MEXUw-0009,"Pérez Jiménez, Luis Alfredo",,768,,Sciadodendron,excelsum,Jalisco,México,3/10/1973,3,10,1973,"Instituto de Biología, UNAM",,,Cedro macho,Árbol,,,,,227,5877,,,,,,,,,,,,
Euphorbiaceae,Piranhea,mexicana, ,Standl.,MEXUw-0010,"Pérez Jiménez, Luis Alfredo",,760,,Celaenodendron,mexicanum,Jalisco,México,2/10/1973,2,10,1973,"Instituto de Biología, UNAM",,,"Guayabillo, borcelano",Árbol,,,,,147,4529A,,,,,,,,,,,,
